"raceKey","actualOrder","actualTrio","lowTicket","trifectaHit","trioGenerated","trioMeaningful","trioRank","candidateCount","purchaseTrioHit","mainTrioHit","coverTrioHit","thickTrioHit","sameThreeWrongOrder","category"
"20260917-86-3","3-4-7","3-4-7","true","false","true","false","5","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-13-3","7-1-4","1-4-7","true","false","true","false","7","3","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-4","4-3-1","1-3-4","false","false","true","true","10","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-13-4","6-4-1","1-4-6","false","false","true","false","15","10","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-5","1-7-5","1-5-7","true","false","true","false","11","2","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-6","2-3-4","2-3-4","true","false","true","true","2","2","true","true","false","false","true","B_TRIO_WOULD_HIT"
"20260917-13-6","4-7-2","2-4-7","true","true","true","true","1","6","true","true","false","false","false","A_TRIFECTA_HIT"
"20260917-86-7","4-3-7","3-4-7","true","false","true","true","13","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-13-7","6-5-4","4-5-6","false","false","true","false","31","4","false","false","false","false","false","E_TRIO_UPSTREAM_MISS"
"20260917-86-8","7-3-5","3-5-7","true","false","true","true","12","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-13-8","4-3-2","2-3-4","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-9","5-2-1","1-2-5","true","false","true","false","15","2","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-13-9","4-1-7","1-4-7","true","false","true","false","4","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-10","7-2-5","2-5-7","false","false","true","true","3","3","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-13-10","3-6-4","3-4-6","true","false","true","false","2","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-86-11","4-1-2","1-2-4","true","false","true","false","6","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-13-11","1-3-5","1-3-5","true","false","true","true","1","2","true","false","true","false","true","B_TRIO_WOULD_HIT"
"20260917-86-12","5-4-1","1-4-5","true","false","true","false","2","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-83-1","1-2-4","1-2-4","false","true","true","true","6","9","true","true","false","false","false","A_TRIFECTA_HIT"
"20260917-34-2","1-2-3","1-2-3","false","false","true","true","3","35","false","false","false","false","false","C_INTERNAL_TRIO_ONLY"
"20260917-83-3","2-3-6","2-3-6","false","false","true","false","20","3","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-34-5","1-3-2","1-2-3","true","false","true","false","5","2","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-83-7","1-2-4","1-2-4","true","false","true","false","2","1","false","false","false","false","false","D_TWO_OF_THREE_ONLY"
"20260917-83-9","2-1-4","1-2-4","true","false","true","true","1","1","true","true","false","true","true","B_TRIO_WOULD_HIT"
